n;alpha;t_le;latency
50;1.0;5000;678.2845
50;1.0;5000;1302.7533
50;1.0;5000;740.0517
50;0.0;5000;2013.7578
50;0.0;5000;1341.8523
50;0.0;5000;1691.9298
50;0.0;5000;1163.6655
50;0.0;5000;2180.2696
50;0.0;5250;406.0659
50;0.0;5250;1262.9024
50;0.0;5250;899.6956
50;0.0;5250;2479.9029
50;0.0;5250;1984.2633
50;0.0;5500;2608.3096
50;0.0;5500;673.4497
50;0.0;5500;798.1247
50;0.0;5500;5765.1108
50;0.0;5500;3070.1866
50;0.0;5750;2995.4304
50;0.0;5750;1198.8011
50;0.0;5750;1621.5312
50;0.0;5750;2912.908
50;0.0;5750;2462.2569
50;0.0;6000;1500.6838
50;0.0;6000;1063.19
50;0.0;6000;1101.6473
50;0.0;6000;536.9547
50;0.0;6000;1018.5207
50;0.1;5000;472.9818
50;0.1;5000;1957.9108
50;0.1;5000;594.785
50;0.1;5000;865.3034
50;0.1;5000;244.2175
50;0.1;5250;797.9645
50;0.1;5250;204.0762
50;0.1;5250;959.7852
50;0.1;5250;1360.3841
50;0.1;5250;297.4324
50;0.1;5500;411.7289
50;0.1;5500;1190.9284
50;0.1;5500;504.2955
50;0.1;5500;502.1034
50;0.1;5500;276.3936
50;0.1;5750;666.8664
50;0.1;5750;429.4432
50;0.1;5750;894.1507
50;0.1;5750;947.4166
50;0.1;5750;340.5119
50;0.1;6000;1002.3905
50;0.1;6000;925.4598
50;0.1;6000;204.8943
50;0.1;6000;232.5901
50;0.1;6000;247.3355
50;0.5;5000;636.7535
50;1.0;5000;103.6697
50;1.0;5000;415.9097
50;1.0;5000;329.0347
50;1.0;5000;788.6455
50;1.0;5000;1122.3598
50;1.0;5250;490.566
50;1.0;5250;233.6387
50;1.0;5250;5300.6076
50;1.0;5250;222.3273
50;1.0;5250;403.8153
50;1.0;5500;849.6502
50;1.0;5500;346.2102
50;1.0;5500;563.6819
50;1.0;5500;933.6702
50;1.0;5500;219.5816
50;1.0;5750;359.7009
50;1.0;5750;479.9448
50;1.0;5750;464.64
50;1.0;5750;721.2538
50;1.0;5750;202.021
50;1.0;6000;461.7387
50;1.0;6000;654.179
50;1.0;6000;700.4014
50;1.0;6000;442.7607
50;1.0;6000;1092.9979
50;0.5;5000;281.5634
50;0.5;5000;799.7039
50;0.5;5000;800.7394
50;0.5;5000;5015.0074
50;0.5;5000;802.8551
50;0.5;5250;753.7282
50;0.5;5250;516.5149
50;0.5;5250;2134.5472
50;0.5;5250;600.8226
50;0.5;5250;889.4442
50;0.5;5500;285.8657
50;0.5;5500;517.2574
50;0.5;5500;275.1606
50;0.5;5500;978.8135
50;0.5;5500;689.3609
50;0.5;5750;407.3773
50;0.5;5750;436.5414
50;0.5;5750;871.4499
50;0.5;5750;380.8523
50;0.5;5750;710.0686
50;0.5;6000;421.8712
50;0.5;6000;599.9665
50;0.5;6000;201.9759
50;0.5;6000;1191.8834
50;0.5;6000;947.0961
